median11, ssc_name, ssc2011
49023.0,"Clifton Grove",10539
74878.55556,"Clontarf (NSW)",10540
15028.0,"Tiwi Islands",70187
32154.45161,"Clothiers Creek",10541
73543.04132,"Clovelly",10542
34361.48315,"Clunes (NSW)",10543
0.0,"Clyde (NSW)",10545
30727.96769,"Condell Park",10576
49409.90476,"Coal Point",10546
63448.0,"Coalcliff",10547
30962.28571,"Condobolin",10577
42993.9893,"Glandore",40230
34614.66667,"Cobaki",10548
47108.0,"Cobar",10549
23028.70175,"Cobargo",10550
45339.66667,"Cobbitty",10551
32819.42857,"Condong",10578
25948.0,"Congarinni",10579
32948.0,"Congarinni North",10580
22976.57143,"Coffee Camp",10552
32090.32044,"Coffs Harbour",10553
32695.10744,"Coleambally",10554
0.0,"Colebee",10555
50908.0,"Coledale",10556
24009.01695,"Collarenebri",10557
54550.87611,"Collaroy (NSW)",10558
54464.12903,"Collector",10559
24503.55556,"Collendina",10560
41380.25806,"Hillvue",11115
28089.17647,"Collie (NSW)",10561
39988.0,"Collingullie",10562
21846.59155,"Collombatti",10563
29848.0,"Colo Heights",10564
38141.10345,"Colo Vale",10565
33824.47059,"Glanville",40231
0.0,"Colongra",10566
27023.86207,"Conjola Park",10584
36574.45161,"Colyton",10567
28919.42857,"Comberton",10568
27248.0,"Comboyne",10569
32881.33333,"Come By Chance",10570
54923.35211,"Connells Point",10585
37984.65339,"Constitution Hill",10586
59282.86239,"Como (NSW)",10571
44668.0,"Horsfield Bay",11134
42056.27068,"Horsley",11135
36348.0,"Comobella",10572
29505.89474,"Conargo",10573
23636.88889,"Cooks Gap",10590
49761.08411,"Concord",10574
40832.40367,"Payneham South",40560
49530.6087,"Concord West",10575
28836.88889,"Congewai",10581
31519.42857,"Congo",10582
34926.125,"Coniston",10583
31533.18519,"Penfield Gardens",40564
67798.97865,"Coogee (NSW)",10587
52682.78261,"Cooks Hill",10591
32262.28571,"Cooks Myalls",10592
33511.63636,"Coolac",10593
27392.44444,"Coolagolite",10594
27502.02299,"Coolah",10595
27619.42857,"Cookamidgera",10588
28784.36364,"Cookardinia",10589
13013.0,"Wadeye",70193
38711.63636,"Coolamon",10596
58664.66667,"Hunterview",11142
44713.21739,"Huntley (Orange - NSW)",11143
35800.63158,"Coolangatta (NSW)",10597
21971.52941,"Coolongolook",10598
35560.79318,"Cooma (NSW)",10599
20748.0,"Coomba Bay",10600
46459.11111,"Kahibah",11192
27410.5,"Kains Flat",11193
22214.66667,"Kalang",11194
45370.51656,"Copacabana",10613
19900.17391,"Copmanhurst",10614
20228.0,"Coralville",10616
48519.42857,"Cordeaux Heights",10619
31597.38272,"Coramba",10617
26525.77778,"Coreen",10620
20348.0,"Kandos",11198
39598.0,"Kangaloon",11199
28981.33333,"Kangaroo Creek",11200
31494.66667,"Corindi Beach",10621
44148.0,"Long Point (Campbelltown - NSW)",11405
36824.05634,"Corlette",10622
37766.18182,"Lord Howe Island",11408
24214.66667,"The Pocket",12262
31519.42857,"Corndale (NSW)",10623
35958.77844,"Corowa",10624
50981.45725,"Thirroul",12271
26485.93103,"Thora",12272
43616.18182,"Newington (Vic.)",21007
37756.33333,"Corrimal",10625
84150.61438,"Milsons Point",11545
29574.89076,"Milton (NSW)",11546
30832.84848,"Tibooburra",12277
63864.66667,"Cottage Point",10626
29414.66667,"Courabyra",10627
41548.0,"Couridjah",10628
26208.0,"Coutts Crossing",10629
39948.0,"Cowan",10630
30126.29912,"Cowra",10631
31148.0,"Coxs Creek",10632
42865.92153,"Cranebrook",10634
0.0,"Crangan Bay",10635
21449.84049,"Cringila",10641
22166.18182,"Craven",10636
49721.48066,"Cromer (NSW)",10642
55824.8546,"Cronulla",10643
34181.33333,"Crookwell",10644
57565.28395,"Glen Osmond",40232
74919.25567,"Cremorne (NSW)",10637
83450.6455,"Cremorne Point",10638
31448.0,"Crescent Head",10639
50049.5873,"Crestwood",10640
35385.03704,"Crosslands",10645
44629.48148,"Croudace Bay",10646
0.0,"Crowdy Bay National Park",10647
23584.36364,"Crowdy Head",10648
32935.5,"Iona",20659
45280.8215,"Croydon (NSW)",10650
52440.42424,"Harrington Park",11077
41790.44373,"Croydon Park (NSW)",10651
34119.42857,"Crystal Creek (NSW)",10652
28236.0,"Cudmirrah",10656
29912.35644,"Culburra Beach",10657
35233.71429,"Ironbark (Vic.)",20660
35759.32075,"Cudal",10653
36895.36842,"Cudgen",10654
34196.27586,"Cudgera Creek",10655
31094.39175,"Culcairn",10658
31371.31288,"Cundletown",10665
34499.11111,"Irrewarra",20661
40789.66667,"Mount Duneed",20937
25254.66667,"Cunjurong Point",10666
39772.39024,"Mount Egerton",20938
50334.91099,"Mount Eliza",20939
59015.46032,"Curl Curl",10667
31477.11392,"Curlewis (NSW)",10668
31593.71429,"Curlwaa",10669
31148.0,"Currabubula",10670
35605.14286,"Dargan",10687
34748.0,"Darkes Forest",10688
20157.09091,"Darkwood",10689
0.0,"Murray-Sunset",20961
32504.52174,"Murrayville",20962
23948.0,"Murrindindi",20963
47788.0,"Curramore (NSW)",10671
47531.76812,"Currans Hill",10672
38864.12903,"Daleys Point",10676
32516.42105,"Dalgety",10677
26127.31034,"Dalmeny",10678
29848.0,"Dalton",10679
49618.83333,"Denistone East",10710
37864.66667,"Dalwood (Ballina - NSW)",10680
23348.0,"Dandry",10681
53508.0,"Denistone West",10711
38798.0,"Denman",10712
26273.0,"Deua River Valley",10713
39988.0,"Dangar Island",10682
35871.45013,"Dapto",10683
24734.66667,"Darawank",10684
27085.5,"Darbys Falls",10685
53039.24088,"Glenalta",40233
80784.36364,"Darling Point",10690
30186.15029,"Dharruk",10714
65019.42857,"Darlinghurst",10691
